brewery,address,city,state,latitude,longitude,website
Four Peaks Brewing,1340 East Eighth Street #103,Tempe,Arizona,33.4194,-111.916,http://www.fourpeaks.com/
Fox River Brewing #1,1501 Arboretum Drive,Oshkosh,Wisconsin,44.0342,-88.5608,
Fratellos Restaurant and Brewery,4301 West Wisconsin,Appleton,Wisconsin,44.2678,-88.4731,
Frederick Brewing,4607 Wedgewood Boulevard,Frederick,Maryland,39.3628,-77.4265,
Free State Brewing,636 Massachusetts,Lawrence,Kansas,38.9718,-95.2357,http://freestatebrewing.com/
Front Street Brewery,208 East River Drive,Davenport,Iowa,41.5202,-90.5725,
Frontwaters Restaurant and Brewing,,Marblehead,Ohio,41.5403,-82.7355,
Full Sail Brewing #1,506 Columbia Street,Hood River,Oregon,45.7103,-121.515,
G. Heileman Brewing,,La Crosse,Wisconsin,43.8014,-91.2396,
Gaslight Brewery,15 South Orange Avenue,South Orange,New Jersey,40.7465,-74.2594,
Glacial Lakes Brewing,,New York Mills,Minnesota,46.518,-95.3761,
Glacier Brewhouse,"737 W. 5th Ave., Suite 110",Anchorage,Alaska,61.2179,-149.896,http://www.glacierbrewhouse.com/
Glen Ellyn Sports Brew,,Glen Ellyn,Illinois,41.8775,-88.067,
Glenwood Canyon Brewing Company,402 Seventh Street,Glenwood Springs,Colorado,39.5476,-107.323,
Golden City Brewery,920 Twelfth Street,Golden,Colorado,39.7546,-105.224,
Golden Gate Park Brewery,,San Francisco,California,37.7749,-122.419,
Golden Pacific Brewing,,Berkeley,California,37.8716,-122.273,
Golden Prairie Brewing,2536 North Elston Avenue,Chicago,Illinois,41.9273,-87.6807,
Golden Valley Brewery and Pub,980 NE Fourth Street,McMinnville,Oregon,45.2104,-123.189,http://www.goldenvalleybrewery.com/
Goose Island Beer Company - Clybourn,1800 North Clybourn Avenue,Chicago,Illinois,41.9137,-87.6543,
Goose Island Beer Company - Fulton Street,1800 West Fulton Street,Chicago,Illinois,41.8871,-87.6721,
Gordash Brewing Company,3804 S.W 30th Ave,Fort Lauderdale,Florida,26.0745,-80.1806,http://holymackerelbeers.com/
Gordon Biersch Brewing,357 East Taylor Street,San Jose,California,37.3526,-121.893,http://www.gordonbiersch.com/brewery
Gore Range Brewery,105 Edwards Village Boulevard,Edwards,Colorado,39.6441,-106.596,
Gottberg Brew Pub,2804 13th Street,Columbus,Nebraska,41.4295,-97.3623,
Govnor's Public House,220 North Randall Road,Lake In The Hills,Illinois,42.1779,-88.3377,
Grand Lake Brewing,915 Grand Avenue,Grand Lake,Colorado,40.2518,-105.82,
Grand Teton Brewing #1,1295 North West Street,Wilson,Wyoming,43.4988,-110.877,
Grand Teton Brewing #2,430 Old Jackson Highway,Victor,Idaho,43.5984,-111.108,http://www.grandtetonbrewing.com/
Granite City Food & Brewery - Omaha,1001 North 102nd Street,Omaha,Nebraska,41.2672,-96.0714,
Granite City Food & Brewery - Saint Cloud,3945 Second Street South,Saint Cloud,Minnesota,45.5498,-94.2067,
Gray Brewing,2424 West Court Street,Janesville,Wisconsin,42.6793,-89.0498,
Great Basin Brewing Company,846 Victorian Ave,Sparks,Nevada,39.5349,-119.754,http://greatbasinbrewingco.com
Great Bear Brewing,238 North Boundary Street,Wasilla,Alaska,61.5816,-149.439,
Great Dane Pub and Brewing #1,123 East Doty Street,Madison,Wisconsin,43.0745,-89.3802,
Great Dane Pub and Brewing #2,2980 Cahill Main,Fitchburg,Wisconsin,43.0177,-89.4232,
Great Divide Brewing,2201 Arapahoe Street,Denver,Colorado,39.7539,-104.989,http://www.greatdivide.com/
Great Lakes Brewing,2516 Market Avenue,Cleveland,Ohio,41.4844,-81.7042,http://www.greatlakesbrewing.com
Great Northern Tavern and Brewery,,Keystone,Colorado,39.6042,-105.948,
Great Waters Brewing Company,426 St.Peter Street,Saint Paul,Minnesota,44.9467,-93.097,
Green Bay Brewing,313 Dousman Street,Green Bay,Wisconsin,44.5189,-88.0196,
Green Flash Brewing,1430 Vantage Court #104A,Vista,California,33.136,-117.225,http://www.greenflashbrew.com
Green Mill Brewing - Saint Paul,57 Hamline Avenue South,Saint Paul,Minnesota,44.9398,-93.1568,
Green Mountain Beverage,153 Pond Lane,Middlebury,Vermont,44.0344,-73.1735,http://www.gmbeverage.com/
Greenshields Brewery and Pub,,Raleigh,North Carolina,35.7721,-78.6386,
Grizzly Bay Brewing,,Suisun City,California,38.2382,-122.04,
Grizzly Peak Brewing,120 West Washington Street,Ann Arbor,Michigan,42.2805,-83.749,
Grumpy Troll Restaurant and Brewery,105 South Second Street,Mount Horeb,Wisconsin,43.0081,-89.7383,
Hair of the Dog Brewing,4509 SE 23rd Avenue,Portland,Oregon,45.4901,-122.643,
Hale's Ales #3,4301 Leary Way NW,Seattle,Washington,47.6592,-122.366,
Half Moon Bay Brewing,390 Capistrano Road,Princeton by the Sea,California,37.4903,-122.435,
Ham's Restaurant and Brewhouse,701 Evans Street,Greenville,North Carolina,35.6083,-77.3732,
Hapa*s Brew Haus and Restaurant,,Kihei,Hawaii,20.7592,-156.457,
Harbor City Brewing,535 West Grand Avenue,Port Washington,Wisconsin,43.3871,-87.8795,
Harmon Brewing Company,1938 Pacific Avenue,Tacoma,Washington,47.2436,-122.437,http://harmon.harmonbrewingco.com/
Harpoon Brewery - Boston,306 Northern Avenue,Boston,Massachusetts,42.3465,-71.0338,http://www.harpoonbrewery.com
Harpoon Brewery - Windsor,336 Ruth Carney Drive,Windsor,Vermont,43.513,-72.4015,http://www.harpoonbrewery.com/
Harvest Moon Brewery / Cafe,392 George Street,New Brunswick,New Jersey,40.4962,-74.4441,
Hawks Brewing,,Roseburg,Oregon,43.2165,-123.342,
HC Berger Brewing,,Fort Collins,Colorado,40.5853,-105.084,
Heartland Brewery Union Square,,New York,New York,40.7323,-73.9874,http://www.heartlandbrewery.com/
Heavenly Daze Brewery and Grill,,Denver,Colorado,39.7392,-104.985,
Heavyweight Brewing,,Ocean,New Jersey,39.9653,-74.3118,
Hereford & Hops Restaurant and Brewpub #1,624 Ludington Street,Escanaba,Michigan,45.7458,-87.056,
Hereford & Hops Steakhouse and Brewpub #3,2201 Sherman Street,Wausau,Wisconsin,44.9518,-89.6657,
Herkimer Pub & Brewery,2922 Lyndale Avenue South,Minneapolis,Minnesota,44.9491,-93.2885,
High Desert Brewing Co.,1201 W. Hadley Ave.,Las Cruces,New Mexico,32.3096,-106.793,http://www.highdesertbrewingco.com/
High Falls Brewing,445 St.Paul Street,Rochester,New York,43.1646,-77.6155,
High Point Wheat Beer Company,22 Park Place,Butler,New Jersey,41.0016,-74.3403,http://www.ramsteinbeer.com/
Highland Brewing Company,12 Old Charlotte Highway,Asheville,North Carolina,35.5716,-82.4991,http://www.highlandbrewing.com/
Hoffbrau Steaks Brewery #1,,Addison,Texas,32.9618,-96.8292,
Hoffbrau Steaks Brewery #2,,Dallas,Texas,32.803,-96.7699,
Hook & Ladder Brewing Company,8113 Fenton St.,Silver Spring,Maryland,38.9911,-77.0237,http://www.hookandladderbeer.com
Hoppers Seafood & Grill,890 East Fort Union Boulevard,Midvale,Utah,40.6215,-111.866,
Hoppin Frog Brewery,1680-F East Waterloo Rd.,Akron,Ohio,41.0247,-81.4676,http://www.hoppinfrog.com/
Hoppy Brewing Company,6300 Folsom Boulevard,Sacramento,California,38.5551,-121.43,http://www.hoppy.com
Hops Grillhouse & Brewery - Cherry Creek,149 Steele Street,Denver,Colorado,39.7187,-104.95,
Hops Haven Brew Haus,1327 North 14th Street,Sheboygan,Wisconsin,43.7594,-87.7228,
HopTown Brewing,3015-D Hopyard Road,Pleasanton,California,37.677,-121.898,
Hopworks Urban Brewery,2944 SE Powell Blvd,Portland,Oregon,45.4969,-122.635,http://hopworksbeer.com/
Hornsby's Pubdrafts Ltd.,600 Yosemite Boulevard,Modesto,California,37.6345,-120.982,
Hubcap Brewery and Kitchen,,Vail,Colorado,39.6403,-106.374,
Hudepohl-Schoenling Brewing,"10921 Reed Hartman Highway, Suite 329",Cincinnati,Ohio,39.2651,-84.3799,
Humboldt Brewing,856 10th Street,Arcata,California,40.87,-124.087,http://www.humboldtbrews.com/
Idaho Brewing,,Idaho Falls,Idaho,43.4666,-112.034,
Illinois Brewing,102 North Center Street #111,Bloomington,Illinois,40.4787,-88.9946,
Independence Brew Pub,1150 Filbert Street,Philadelphia,Pennsylvania,39.9526,-75.1594,http://www.independencebrewpub.com/
Independence Brewing Co,3913 Todd Lane #607,Austin,Texas,30.2131,-97.7358,http://www.independencebrewing.com/
Indian Wells Brewing,2565 North Highway 14,Inyokern,California,35.6675,-117.874,
Iron City Brewing Co.,3340 Liberty Ave.,Pittsburgh,Pennsylvania,40.461,-79.9653,http://www.ironcitybrewingcompany.com/Default.aspx
Iron Hill Brewery - Newark,147 East Main Street,Newark,Delaware,39.6834,-75.7467,
Iron Hill Brewery - Wilmingon,620 South Madison Street,Wilmington,Delaware,39.745,-75.5561,http://www.ironhillbrewery.com/
Iron Springs Pub & Brewery,765 Center Boulevard,Fairfax,California,37.986,-122.584,
Issaquah Brewhouse,35-C West Sunset Way,Issaquah,Washington,47.53,-122.037,
Ithaca Beer Company,600 Elmira Road,Ithaca,New York,42.4145,-76.5315,
Jack Russell Brewing,2380 Larsen Drive,Camino,California,38.7563,-120.679,
Jack Russell Brewing,2380 Larsen Drive,Camino,California,49.1482,-122.862,
Jack's Brewing,39176 Argonaut Way,Fremont,California,37.5441,-121.988,
Jacob Leinenkugel Brewing Company,1 Jefferson Avenue,Chippewa Falls,Wisconsin,44.9449,-91.3968,http://www.leinie.com/welcome.html
Jaipur Restaurant and Brewpub,10922 Elm Street,Omaha,Nebraska,41.2328,-96.0825,
James Page Brewing,1500 Jackson Street,Minneapolis,Minnesota,45.0039,-93.2502,
Jarre Creek Ranch Brewing,,Castle Rock,Colorado,39.3722,-104.856,
Jasper Ridge Brewery,1075 Country Lane,Ishpeming,Michigan,46.5015,-87.679,
JJ Bitting Brewing,33 Main Street,Woodbridge,New Jersey,40.5549,-74.2771,
Jobber's Canyon Restaurant & Brewery,,Omaha,Nebraska,41.254,-95.9993,
JoBoy's Brew Pub,87 Doe Run Rd,Manheim,Pennsylvania,40.1707,-76.3838,http://www.joboysbrewpub.com/
John Harvard's Brew House - Framingham,1 Worcester Road,Framingham,Massachusetts,42.3037,-71.3966,
John Harvard's Brew House - Harvard Square,33 Dunster Street,Cambridge,Massachusetts,42.3724,-71.1193,
John Harvard's Brewhouse - Wilmington,,Wilmington,Delaware,39.7458,-75.5467,
Jolly Pumpkin Artisan Ales,3115 Broad Street,Dexter,Michigan,42.3375,-83.8895,http://www.jollypumpkin.com
Joshua Huddy's Brew Pub and Grill,,Toms River,New Jersey,39.9529,-74.201,
JT Whitney's Brewpub and Eatery,674 South Whitney Way,Madison,Wisconsin,43.0519,-89.4737,
Jurupa Valley Brewing,,Riverside,California,33.9533,-117.396,
Kalamazoo Brewing,355 East Kalamazoo Avenue,Kalamazoo,Michigan,42.2949,-85.5788,
Karl Strauss Brewery Gardens - Sorrento Mesa,9675 Scranton Road,San Diego,California,32.8969,-117.201,
Keg Microbrewery & Restaurant,,Stevens Point,Wisconsin,44.5236,-89.5746,
Kelmer's Brewhouse,,Santa Rosa,California,38.4405,-122.714,
Kentucky Hemp Beer Company,,Lexington,Kentucky,38.0317,-84.4951,
Kessler Brewing,,Helena,Montana,46.5958,-112.027,
Kona Brewing,75-5629 Kuakini Highway,Kailua-Kona,Hawaii,19.642,-155.996,http://www.konabrewingco.com
Krogh's Restaurant and Brewpub,23 White Deer Plaza,Sparta,New Jersey,41.0323,-74.6407,
Kross Brewing,,Morrisville,Vermont,44.5617,-72.5984,
Kuhnhenn Brewing,5919 Chicago Road,Warren,Michigan,42.5278,-83.0472,http://www.kbrewery.com/
La Jolla Brew House,7536 Fay Avenue,La Jolla,California,32.8409,-117.274,
La Jolla Brewing,,La Jolla,California,33.8575,-117.876,
LaConner Brewing,117 South First Street,LaConner,Washington,48.3917,-122.495,http://www.insidelaconner.com/
Lafayette Brewing,622 Main Street,Lafayette,Indiana,40.4194,-86.89,
Lagunitas Brewing Company,1280 North McDowell Boulevard,Petaluma,California,38.2724,-122.662,http://www.lagunitas.com/
Lake Louie Brewing,7556 Pine Road,Arena,Wisconsin,43.1706,-89.9324,
Lake Placid Pub & Brewery,813 Mirror Lake Drive,Lake Placid,New York,44.2829,-73.9813,http://www.ubuale.com/
Lake Superior Brewing,2711 West Superior Street,Duluth,Minnesota,46.7611,-92.1319,
Lakefront Brewery,1872 North Commerce Street,Milwaukee,Wisconsin,43.0547,-87.9053,http://www.lakefrontbrewery.com/index.html
Lancaster Brewing Co.,302 N. Plum St.,Lancaster,Pennsylvania,40.0438,-76.2984,http://www.lancasterbrewing.com/index.html
Lang Creek Brewry,655 Lang Creek Road,Marion,Montana,48.014,-115.011,http://langcreekbrewery.com/
Latrobe Brewing,,Latrobe,Pennsylvania,40.3212,-79.3795,
Laughing Dog Brewing,55 Emerald Industrial Park Road,Ponderay,Idaho,48.3003,-116.538,http://www.laughingdogbrewing.com/
Lazy Magnolia Brewing Company,7030 Roscoe Turner Rd,Kiln,Mississippi,30.3764,-89.4497,http://www.lazymagnolia.com/
Left Coast Brewing,1245 Puerta del Sol,San Clemente,California,33.4577,-117.589,
Left Hand Brewing Company,1265 Boston Avenue,Longmont,Colorado,40.1587,-105.113,http://www.lefthandbrewing.com/
Legacy Brewing Co.,545 Canal Street,Reading,Pennsylvania,40.3256,-75.9283,http://www.legacybrewing.com
Legends Brewhouse & Eatery of Green Bay,2840 Shawano Avenue,Green Bay,Wisconsin,44.5534,-88.0977,
Leinenkugel's Ballyard Brewery,,Phoenix,Arizona,33.4484,-112.074,
Lewis & Clark Brewing Company,939 Getchell Street,Helena,Montana,46.5977,-112.037,http://lewisandclarkbrewing.com/
Liberty Steakhouse and Brewery,1321 Celebrity Circle,Myrtle Beach,South Carolina,33.7187,-78.8831,http://www.libertysteakhouseandbrewery.com/
Lift Bridge Brewery,,Stillwater,Minnesota,45.0565,-92.8222,http://www.liftbridgebrewery.com/
Lightning Boy Brewery,,Belgrade,Montana,45.7786,-111.179,
Lion Brewery Inc.,700 North Pennsylvania Blvd.,Wilkes Barre,Pennsylvania,41.2557,-75.8583,http://www.lionbrewery.com/
Listermann Brewing Company,1621 Dana Ave.,Cincinnati,Ohio,39.1456,-84.4741,http://www.listermann.com/
Little Apple Brewing,1110 Westloop Center,Manhattan,Kansas,39.1836,-96.5717,
Live Oak Brewing,3301-B East Fifth Street,Austin,Texas,30.2541,-97.7055,http://www.liveoakbrewing.com/
Loaf and Stein Brewing,,Eagle River,Wisconsin,45.9172,-89.2443,
Logjam Microbrewery,B-4864 Cty Rd F,Unity,Wisconsin,44.8516,-90.3165,http://www.logjambeer.com/
Long Trail Brewing Co,Route 4 & 100A,Bridgewater Corners,Vermont,43.5882,-72.6563,http://www.longtrail.com/
Long Valley Pub & Brewery,1 Fairmount Road,Long Valley,New Jersey,40.7843,-74.78,
Lost Coast Brewery,617 Fourth Street,Eureka,California,40.8032,-124.165,http://www.lostcoast.com/
Mad Anthony Brewing,2002 Broadway,Fort Wayne,Indiana,41.0677,-85.1524,
Mad Crab Restaurant and Brewery,,Strongsville,Ohio,41.3145,-81.8357,
Mad River Brewing,195 Taylor Way,Blue Lake,California,40.879,-123.993,
Mad River Brewing Company,101 Taylor Way,Blue Lake,California,40.8786,-123.992,http://www.madriverbrewing.com/
Magic Hat,5 Bartlett Bay Road,South Burlington,Vermont,44.4284,-73.2131,http://www.magichat.net/
Magnolia Pub and Brewery,1398 Haight Street,San Francisco,California,37.7702,-122.445,http://www.magnoliapub.com/
Main Street Alehouse,333 North Main Avenue,Gresham,Oregon,45.5001,-122.431,
Main Street Beer Company #1,,Richmond,Virginia,37.543,-77.4691,
Main Street Brewery,300 North Main Street,Corona,California,33.8835,-117.565,
Main Street Brewing,,Dallas,Texas,32.803,-96.7699,
"Main Street Station Casino, Brewery and Hotel",200 North Main Street,Las Vegas,Nevada,36.1755,-115.145,
Mambo Beer,10920 North Port Washington Road,Mequon,Wisconsin,43.2167,-87.924,
Mammoth Brewing,24 Lake Mary Road,Mammoth Lakes,California,37.6484,-118.983,
Manayunk Brewery and Restaurant,4120 Main Street,Philadelphia,Pennsylvania,40.0236,-75.2202,http://www.manayunkbrewery.com/
Manhattan Beach Brewing,124 Manhattan Beach Boulevard,Manhattan Beach,California,33.8844,-118.411,
Marble Brewery,111 Marble Ave NW,Albuquerque,New Mexico,35.0928,-106.647,http://marblebrewery.com/
Margaritaville Brewing Company,,Jacksonville,Florida,30.3617,-81.6966,http://www.landsharklager.com/
Marin Brewing,1809 Larkspur Landing Circle,Larkspur Landing,California,37.9479,-122.511,
Maritime Pacific Brewing,1514 NW Leary Way,Seattle,Washington,47.6637,-122.377,
Marquette Harbor Brewery and Restaurant,119 South Front Street,Marquette,Michigan,46.5431,-87.3929,
Marshall Brewing Company,618 S. Wheeling Ave,Tulsa,Oklahoma,36.152,-95.9647,http://marshallbrewing.com
Marzoni's Brick Oven & Brewing Co,165 Patchway Road,Duncansville,Pennsylvania,40.4234,-78.4339,http://www.marzonis.com/
Mash House Restaurant and Brewery,4150 Sycamore Dairy Road,Fayetteville,North Carolina,35.0707,-78.9545,
Maui Brewing Co.,4405 Honoapiilani Highway #217,"Lahaina, Maui",Hawaii,20.9721,-156.677,http://mauibrewingco.com/
Maumee Bay Brewing,27 Broadway,Toledo,Ohio,41.6432,-83.5384,
McCoy's Public House and Brewkitchen,4057 Pennsylvania Avenue,Kansas City,Missouri,39.0534,-94.5919,
McGuire's Irish Pub and Brewery - Pensacola,600 East Gregory Street,Pensacola,Florida,30.4181,-87.2024,
McKenzie Brew House,451 Wilmington-West Chester Pike,Glen Mills,Pennsylvania,39.8658,-75.5442,http://www.mckenziebrewhouse.com
McMenamins Mill Creek,13300 Bothell-Everett Highway #304,Mill Creek,Washington,47.8774,-122.211,
Mehana Brewing,275 East Kawili Street,Hilo,Hawaii,19.706,-155.069,
Mendocino Brewing - Hopland,13351 Highway 101,Hopland,California,38.9734,-123.116,
Mendocino Brewing - Saratoga Springs,,Saratoga Springs,New York,43.0831,-73.7846,http://www.mendobrew.com/
Mendocino Brewing - Ukiah,1601 Airport Road,Ukiah,California,39.1326,-123.201,
Mercury Brewing Company,23 Hayward St.,Ipswich,Massachusetts,42.6728,-70.844,http://www.mercurybrewing.com
Metropolitan Brewing,"5121 N Ravenswood Ave,",Chicago,Illinois,41.975,-87.674,http://www.metrobrewing.com/
Mia and Pia's Pizzeria and Brewhouse,3545 Summers Lane (restaurant),Klamath Falls,Oregon,42.2249,-121.782,
Michigan Brewing,1093 Highview Drive,Webberville,Michigan,42.6616,-84.1946,http://www.michiganbrewing.com/
Mickey Finn's Brewery,412 North Milwaukee Avenue,Libertyville,Illinois,42.2872,-87.9538,
Mickey's Brewing Co.,,Milwaukee,Wisconsin,43.0389,-87.9065,http://www.mickeys.com
Middle Ages Brewing,120 Wilkinson Street,Syracuse,New York,43.0508,-76.1617,http://www.middleagesbrewing.com/
Midnight Sun Brewing Co.,8111 Dimond Hook Drive,Anchorage,Alaska,61.1473,-149.844,http://www.midnightsunbrewing.com/
Milagro Brewery and Grill,,Bernalillo,New Mexico,35.3,-106.551,
Mill Creek Brewpub,11 North Palouse,Walla Walla,Washington,46.0697,-118.336,
Mill Steakhouse,5798 South Rapp Street,Littleton,Colorado,39.612,-105.019,
Miller Brewing,3939 W. Highland Blvd,Milwaukee,Wisconsin,43.0445,-87.9626,http://www.millerbrewing.com
Millrose Brewing,45 South Barrington Road,South Barrington,Illinois,42.0855,-88.1411,
Millstream Brewing,835 48th Avenue,Amana,Iowa,41.7972,-91.8652,
Milly's Tavern,500 Commercial Street,Manchester,New Hampshire,42.9945,-71.4674,
Milwaukee Ale House,233 North Water Street,Milwaukee,Wisconsin,43.0334,-87.9093,
Minhas Craft Brewery,1208 14th Avenue,Monroe,Wisconsin,42.6001,-89.6422,
Minneapolis Town Hall Brewery,1430 Washington Avenue South,Minneapolis,Minnesota,44.9732,-93.2479,http://www.townhallbrewery.com/
Minnesota Brewing,,Saint Paul,Minnesota,44.9442,-93.0861,
Minocqua Brewing Company,238 Lake Shore Drive,Minocqua,Wisconsin,45.8722,-89.7097,http://www.minocquabrewingcompany.com
Mishawaka Brewing,3703 North Main Street,Mishawaka,Indiana,41.6931,-86.1818,
Mississippi Brewing Co.,,Utica,New York,40.687,-73.708,
Moab Brewery,686 South Main Street,Moab,Utah,38.5657,-109.55,
Mogollon Brewing Company,4366 Huntington Dr,Flagstaff,Arizona,35.2156,-111.59,http://www.mogbrew.com/
Montana Brewing,113 North Broadway,Billings,Montana,45.7822,-108.506,
Monte Carlo Casino and Brewpub,,Las Vegas,Nevada,36.1286,-115.171,
Moon River Brewing Company,21 W. Bay St.,Savannah,Georgia,32.081,-81.0915,http://www.moonriverbrewing.com/
Moonlight Brewing,PO Box 316,Fulton,California,38.498,-122.78,
Moose's Tooth Pub and Pizzeria,3300 Old Seward Highway,Anchorage,Alaska,61.1902,-149.869,http://www.moosestooth.net/
Moosejaw Pizza & Dells Brewing Company,110 Wisconsin Dells Parkway South,Wisconsin Dells,Wisconsin,43.5907,-89.7939,
Mountain Sun Pub & Brewery,1535 Pearl Street,Boulder,Colorado,40.019,-105.275,
Moylan's Brewery & Restaurant,15 Rowland Way,Novato,California,38.0941,-122.557,http://www.moylans.com/
moylans Brewing company,,Novato,California,38.1074,-122.57,http://www.moylans.com/
Mudshark Brewing,210 Swanson Avenue,Lake Havasu City,Arizona,34.4686,-114.341,http://www.mudsharkbrewingco.com/
Murphy's Wagon Wheel,107 North Lincoln Avenue,Hastings,Nebraska,40.5843,-98.3912,
Namaqua Brewing,,Loveland,Colorado,40.3978,-105.075,
Nebraska Brewing Company,7474 Towne Center Parkway #101,Papillion,Nebraska,41.1339,-96.0307,
Nebraska Brewing Company,7474 Towne Center Parkway #101,Papillion,Nebraska,37.244,-107.879,
New Albanian Brewing,3312 Plaza Drive,New Albany,Indiana,38.3281,-85.8171,http://www.newalbanian.com
New Belgium Brewing,500 Linden Street,Fort Collins,Colorado,40.5929,-105.07,http://www.newbelgium.com/
New Century Brewing Company,PO Box 1498,Boston,Massachusetts,42.3587,-71.0574,
New Glarus Brewing Company,2400 State Highway 69,New Glarus,Wisconsin,42.8171,-89.6306,http://www.newglarusbrewing.com/
New Holland Brewing Company,66 East Eighth Street,Holland,Michigan,42.79,-86.1041,http://newhollandbrew.com
New River Brewing,2015 Afond Court,Atlanta,Georgia,33.9089,-84.3056,
New Road Brewhouse,,Collegeville,Pennsylvania,40.1857,-75.4516,
Nicolet Brewing,,Florence,Wisconsin,45.9222,-88.2518,
Ninkasi Brewing,272 Van Buren St,Eugene,Oregon,44.0569,-123.11,http://www.ninkasibrewing.com/
Nodding Head Brewpub,1516 Sansom Street,Philadelphia,Pennsylvania,39.9502,-75.1666,http://www.noddinghead.com/
Nor'Wester Brewery and Public House,,Portland,Oregon,45.5235,-122.676,
North Coast Brewing Company,455 North Main Street,Fort Bragg,California,39.4466,-123.806,http://www.northcoastbrewing.com/home.htm
North Country Brewery,141 South Main Street,Slippery Rock,Pennsylvania,41.0638,-80.0556,http://www.northcountrybrewing.com
Northwest Brewwrks,,Kirkland,Washington,47.6815,-122.209,
Northwoods Brewpub Grill,3560 Oakwood Mall Drive,Eau Claire,Wisconsin,44.7776,-91.4433,
O'Fallon Brewery,26 West Industrial Drive,O'Fallon,Missouri,38.8058,-90.7532,
O'Gara's Bar & Grill,146 Snelling Avenue North,Saint Paul,Minnesota,44.9458,-93.167,
O'Grady's Brewery and Pub #1,,Arlington Heights,Illinois,42.0884,-87.9806,
O'Hara's Brewpub and Restaurant,,Saint Cloud,Minnesota,45.5539,-94.1703,
Oak Creek Brewery,2050 Yavapai Dr,Sedona,Arizona,34.8661,-111.796,http://oakcreekbrew.com/
Oaken Barrel Brewing,50 North Airport Parkway,Greenwood,Indiana,39.615,-86.0901,http://www.oakenbarrel.com/
Oasis Brewery and Restaurant,,Boulder,Colorado,40.015,-105.271,
Oasis Brewery Annex,,Boulder,Colorado,40.015,-105.271,
Oconomowoc Brewing,,Oconomowoc,Wisconsin,43.1117,-88.4993,
Odell Brewing,800 East Lincoln Avenue,Fort Collins,Colorado,40.5894,-105.063,
Oggi's Pizza and Brewing - Vista,425 South Melrose Drive,Vista,California,33.2029,-117.255,
Ohio Brewing,,Niles,Ohio,41.1828,-80.7654,
Old City Brewing,603 West 13th Street #1A-345,Austin,Texas,30.2767,-97.7463,
Old Dominion Brewing Co.,1284 McD Drive,Dover,Delaware,39.154,-75.4884,http://www.olddominion.com/
Old Hat Brewery,114 North Main Street,Lawton,Michigan,42.1682,-85.8497,
Olde Main Brewing,316 Main Street,Ames,Iowa,42.0248,-93.6147,
Olde Peninsula Brewpub and Restaurant,200 East Michigan Avenue,Kalamazoo,Michigan,42.2936,-85.5778,
Oldenberg Brewery,,Fort Mitchell,Kentucky,39.0472,-84.5599,
On Tap Bistro & Brewery,,San Diego,California,32.7153,-117.157,
Onion Pub & Brewery,22221 Pepper Road,Lake Barrington,Illinois,42.1865,-88.1835,
Onopa Brewing,,Milwaukee,Wisconsin,43.0389,-87.9065,
Orchard Street Brewery,,Bellingham,Washington,48.7596,-122.488,
Oregon Trader Brewing,,Albany,Oregon,44.6365,-123.106,
Oregon Trail Brewery,341 SW Second Street,Corvallis,Oregon,44.5613,-123.261,
Original Basil T's,183 Riverside Avenue,Red Bank,New Jersey,40.3532,-74.0747,
Orlando Brewing,1301 Atlanta Avenue,Orlando,Florida,28.5265,-81.3827,http://www.orlandobrewing.com
Orlio Organic,5 Bartlett Bay Road,South Burlington,Vermont,44.4284,-73.2131,http://www.orlio.net/
Oskar Blues Grill and Brew,303 Main Street,Lyons,Colorado,40.2246,-105.268,http://www.oskarblues.com/
Otter Creek Brewing & Wolaver's Organic Ales,793 Exchange Street,Middlebury,Vermont,44.0197,-73.1693,http://www.ottercreekbrewing.com/
Otto's Pub and Brewery,2105 N. Atherton St.,State College,Pennsylvania,40.8098,-77.9101,http://www.ottospubandbrewery.com/index.php
Oyster Bar Bistro and Brewery,,Fort Wayne,Indiana,41.1475,-85.1168,
Pabst Brewing Company,PO Box 1661,San Antonio,Texas,29.43,-98.49,http://www.pabst.com/
Pacific Beach Brewhouse,,Pacific Beach,California,32.7978,-117.24,
Pacific Coast Brewing,906 Washington Street,Oakland,California,37.8016,-122.274,
Pacific Rim Brewing,9832 14th Avenue SW,Seattle,Washington,47.5143,-122.353,
Palmetto Brewing,289 Huger Street,Charleston,South Carolina,32.8017,-79.9455,
Panther Brewing Company,Utica NY 13502,Utica,New York,43.1467,-75.1779,
Paper City Brewing Company,108 Cabot St.,Holyoke,Massachusetts,42.2012,-72.6104,
Park City Brewing,375 West 910 South,Heber City,Utah,40.496,-111.42,
Pearl Street Brewery,1401 Saint Andrew Street,La Crosse,Wisconsin,43.8344,-91.2362,
Pelican Pub & Brewery,33180 Cape Kiwanda Drive,Pacific City,Oregon,45.2152,-123.97,http://www.pelicanbrewery.com/
Penn Brewery,800 Vinial St.,Pittsburgh,Pennsylvania,40.4569,-79.9915,http://www.pennbrew.com/
Pennichuck Brewing Company,"127 Elm St., Unit C",Milford,New Hampshire,42.8368,-71.6626,http://www.pennichuckbrewing.com/
Pennsylvania Brewing,800 Vinial Street,Pittsburgh,Pennsylvania,40.4569,-79.9915,
Pete's Brewing,14800 San Pedro Avenue,San Antonio,Texas,29.5761,-98.4772,http://www.peteswicked.com/
Pete's Place,120 SW Eighth Street,Krebs,Oklahoma,34.9251,-95.7253,
PH Woods Diner and Brewery,23060 Alessandro Boulevard,Moreno Valley,California,33.9176,-117.26,
